QN#;Heading;Requirement;Citation;Related Documents
1.1;Air General;If the facility emits air pollutants, it is built, designed and run in such a way to avoid, prevent or reduce such emissions at the source.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 4";
1.2;Air General;The facility ensures that the number of emission points or location of atmospheric discharges is as low as possible;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 6";
1.3;Air General;If the facility treats its emissions, treatment installations are designed, run and maintained in such a way to reduce to a minimum the periods where they cannot operate at full capacity.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 7";*Records of emission monitoring
1.4;Air General;If the facility pre-treats its emissions, it has installed chimneys or evacuation devices to evacuate the treated emissions, and that are designed in such a way to allow for a good dispersion of emissions in the atmosphere.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 8";
1.5;Emission Limits;The facility's air emissions do not exceed the stated emission limit values.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 3";*Register of air pollutants measurements
1.6;Emission Limits;If the facility emits air pollution which exceeds the limit values set out in annex 1 of Executive Decree 06-138 it has paid an additional tax.;"Executive Decree No. 07-299 of 27 September 2007 determining the Terms of the Implementation of the Additional Tax on Air Pollution Caused by Industrial Facilities; Art. 2 and Art. 3
Law 01-21 of 22 December 2001 relating to the financial Law for the year 2002; Art. 205";*Proof of payment of the additional tax on air pollution
1.7;Emission Limits;If the facility treats its emission and if a deficiency of the treatment installation leads to an emission level that exceeds the standards listed in Annex 1, the facility has taken measures to reduce emissions either by reducing or stopping the concerned activities.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 7";*Records of emission monitoring
1.8;Emission Limits;If the facility exceeds the air emission limit values stated in Annex 1, it is able to provide a detailed explanation, comments and arguments about the excess to the Ministry of the Environment.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 15";*Detailed explanation, comments and arguments about the exceedance of the air emission limit values
1.9;Emission Limits;If the facility exceeds the emission limits stated in Annex 1, it takes the corrective actions planned or already taken and informs the Ministry of the Environment about them.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 15";*Copy of the notification about corrective actions when the emission limits are exceeded
1.10;Emission Limits;The facility immediately informs the competent authority if there have been air pollutants emitted directly to the atmosphere as a result of malfunction of the pretreatment equipment.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 9";*Notification letter in the event of air pollution
1.11;Measurement and Reporting;If the facility emits air pollutants, it keeps a register containing the dates and results of the measurements performed concerning air emissions.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 11";*Register of air pollutants measurements
1.12;Measurement and Reporting;If the facility emits air pollutants, it carries out the required sampling and measurements of the emissions.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 11";*Register of air pollutants measurements
1.13;Measurement and Reporting;The result of the measurements on air emissions are made available to the inspection authority representing the Ministry of the Environment on request.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 12";*Register of air pollutants measurements
1.14;Measurement and Reporting;The air pollutants emitted by the facility are identified and intercepted as near as possible from their emission source.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 5";
1.15;Measurement and Reporting;If the installation operates or intends to operate installations that are not regulated by the rules applicable to classified establishments, it has provided the competent authority with information on its emissions.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Art. 10";*Information on the emissions of the installation
1.16;Solvent/VOC Emissions;The facility ensures that emission of volatile organic compound does not exceed 150 mg/Nm3.;"Executive Decree 06-138 of 15 April 2006 Regulating Emissions of Gas, Fumes, Vapors, Liquid or Solid Particles in the Atmosphere as Well and Conditions for their Control.; Annex 1";*Records of monitoring volatile organic compound emission
