QN#;Heading;Requirement;Citation;Related Documents
1.1;Fire Prevention;Buildings and workplaces, including annexes, are protected against fire and explosions.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 5";
1.2;Fire Prevention;Premises and workstations associated with fire risks due to a permanent use of highly flammable material and substances are isolated.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 46";
1.3;Fire Prevention;Areas where group 1 flammable materials are handled or used are free from sources of flames, devices, or any parts likely to be heated.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 50";
1.4;Fire Prevention;Smoking is forbidden in areas where group 1 flammable materials are handled or used, and workers are informed of this restriction.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 50";
1.5;Fire Prevention;In buildings or premises where flammable handled of group 1 are manipulated or used,  workers do not leave flammable liquids in quantities exceeding their daily use.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 51";
1.6;Fire Prevention;Flammable liquids are only placed in leak-proof containers, and if they are made of glass they are shock-resistant.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 51";
1.7;Fire Prevention;In areas where flammable materials of group 2 are handled, produced, treated or stored, electrical wiring and equipment are fitted with devices to prevent contact and overheating of these materials.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 53";
1.8;Fire Prevention;Devices whose functioning causes sparks or incandescence are not used in areas where flammable materials of group 2 are handled, produced, treated or stored.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 53";
1.9;Fire Prevention;The list of fire drills and exercises as well as the observations on fire-fighting exercises and use of first aid equipment are stated in the commission of hygiene and safety's register of deliberations.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 60";*Commission of hygiene and safety’s register of deliberations
1.10;Fire Prevention;Devices whose functioning causes sparks or incandescence are not used in areas where flammable materials of group 1 are handled.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 50";
1.11;Fire Prevention;If the facility operates a high rise building, it complies with the fire prevention requirements listed under Article 7 of Decree No. 76-35 dated 20 February 1976 laying down the rules for safety against fire and panic in tall buildings.;"Decree No. 76-35 dated 20 February 1976 laying down the rules for safety against fire and panic in high rise buildings; Art. 7";
1.12;Fire Prevention;If the facility operates a high rise building, it ensures that an appropriate fire alarm system and firefighting equipment is made available in the event of fire.;"Decree No. 76-35 dated 20 February 1976 laying down the rules for safety against fire and panic in high rise buildings; Art. 7(4)";
1.13;Fire Prevention;If the facility operates a high rise building, it ensures that the building is registered with the civil defense department before the occupation of the building.;"Decree No. 76-35 dated 20 February 1976 laying down the rules for safety against fire and panic in high rise buildings; Art. 23";*Records of registering the building with the civil defense department
