QN#;Heading;Requirement;Citation;Related Documents;
1.1;Responsible Persons;If the facility is a category 1 or 2 classified establishment according to the classified installation nomenclature, it has appointed a delegate for the environment.;"Executive Decree 05-240 of 28 June 2005 establishing the Terms of the Appointment of Delegates for the Environment; Art. 2";*Appointment letter of person responsible for the energy management;
1.2;Responsible Persons;If the facility is a category 1 classified establishment according to the classified installation nomenclature and does not have environmental protection structures, the appointment of the delegate for the environment has been approved by the minister of the Environment.;"Executive Decree 05-240 of 28 June 2005 establishing the Terms of the Appointment of Delegates for the Environment; Art. 2";*Approval of the delegate for the environment from the Minister of the Environment;
1.3;Responsible Persons;If the facility is a category 2 classified establishment according to the classified installation nomenclature and does not have environmental protection structures, it has informed the competent Governor (wali) of the appointment of the delegate for the environment.;"Executive Decree 05-240 of 28 June 2005 establishing the Terms of the Appointment of Delegates for the Environment; Art. 2";*Notification of the appointment of the delegate for the environment to the competent Governor (wali);
1.4;Responsible Persons;The facility provides its delegate for the environment with all the means necessary to allow him to fulfill his missions.;"Executive Decree 05-240 of 28 June 2005 establishing the Terms of the Appointment of Delegates for the Environment; Art. 7";*Employee training records;
1.5;Site Transfer / Closure;If the facility is a classified establishment it has informed the competent authority of any closure of its sites three months before their closure.;"Executive Decree 06-198 of 31 may 2006 on the Regulation Governing Classified Establishments for the Protection of the Environment; Art. 42";*Notification of closure of a classified establishment;
1.6;Site Transfer / Closure;If the facility is classified as belonging to the group of classified establishments, and if it has closed its site/facility, it has submitted a decontamination plan for the site to the competent authority.;"Executive Decree 06-198 of 31 may 2006 on the Regulation Governing Classified Establishments for the Protection of the Environment; Art. 42";*Decontamination plan in the event of closure;
1.7;Environmental Taxes and Fees;"If the facility belongs to one of the categories of ""classified establishments"" according to the classified installation nomenclature, it pays the tax on polluting and dangerous activities.";"Law 99-11 of 23 December 1999 relating to the financial Law for the year 2000; Art. 54
Law 01-21 of 22 December 2001 relating to the financial Law for the year 2002; Art. 202
Executive Decree No. 09-336 on Tax on Polluting and Hazardous Activities for the Environment; Art. 2";*Proof of payment of the tax on polluting and dangerous activities;
1.8;Environmental Taxes and Fees;If the facility stores industrial hazardous waste, it has paid the tax on the storage of hazardous waste.;"Law 01-21 of 22 December 2001 relating to the financial Law for the year 2002; Art. 203";*Proof of payment of the tax on the storage of hazardous waste;
1.9;Environmental Taxes and Fees;If the facility carries out exploitation and transport of oil, it pays the tax for polluting or dangerous activities.;"Executive Decree No. 09-336 on Tax on Polluting and Hazardous Activities for the Environment; Art. 3";*Receipts for the payment of tax on polluting and dangerous activities;
1.10;Environmental Audits;If the existing facility belongs to the group of classified establishments but does not have an operating authorization, or if its operating authorization does not correspond to any categories of classified establishments, it has carried out an environmental audit.;"Executive Decree 06-198 of 31 may 2006 on the Regulation Governing Classified Establishments for the Protection of the Environment; Art. 44";"*Operating authorization
*Environmental audit report";
1.11;Environmental Audits;If the company is an industrial, transport, or services company with an annual energy consumption reaching the limits stated by Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments, it conducts an energy audit.;"Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments; Art. 10";*Energy audit report;
1.12;Environmental Audits;If the company is an industrial facility that consumes energy equal to or more than 2000 ton of petroleum, it reports its consumption level and its eligibility for the mandated energy audit to the National Agency for the Promotion and Rationalization of Energy Use (APRUE).;"Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments; Article (16)";"*Document on the annual energy consumption
*Report to the National Agency for the Promotion and Rationalization of Energy Use (APRUE) on the company annual energy consumption level";
1.13;Environmental Audits;If the company is a transportation service company that consumes energy equal to or more than 1000 ton of petroleum, it reports its consumption level and its eligibility for the mandated energy audit to the National Agency for the Promotion and Rationalization of Energy Use (APRUE).;"Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments; Article (16).";"*Document on the annual energy consumption
*Report to the National Agency for the Promotion and Rationalization of Energy Use (APRUE) on the company annual energy consumption level";
1.14;Environmental Audits;If the company is a company that provides services and consumes energy equal to or more than 500 ton of petroleum, it reports its consumption level and its eligibility for the mandated energy audit to the National Agency for the Promotion and Rationalization of Energy Use (APRUE).;"Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments; Article (16)";"*Document on the annual energy consumption
*Report to the National Agency for the Promotion and Rationalization of Energy Use (APRUE) on the company annual energy consumption level";
1.15;Environmental Audits;If the company is an industrial, transport, or services company with an annual energy consumption reaching the limits stated by Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments, it assigns an accredit entity for conducting an energy audit to the company.;"Executive Decree No. 05-495 of 26 December 2005 relating to the Energy Audit of High Energy Consumption Establishments; Article 7";*Energy auditor credentials;
