QN#;Heading;Requirement;Citation;Related Documents
1.1;Storage and Handling;The facility limits its use of hazardous materials, substances or products to the minimum usually necessary for the production process.;"Executive Decree 05-08 of 08 January 2005 on Particular Prescriptions Applicable to Hazardous Substances, Materials and Products in the Workplace; Art. 11";
1.2;Storage and Handling;Access is regulated to areas where group 1 flammable materials are handled or used.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 31";
1.3;Storage and Handling;Hazardous materials, products or substances at the facility are labeled, and properly marked so as to allow their identification.;"Executive Decree 05-08 of 08 January 2005 on Particular Prescriptions Applicable to Hazardous Substances, Materials and Products in the Workplace; Art. 6";
1.4;General Hazardous Material Storage;Packages of hazardous materials, products and substances stored/used on site are strong, are liquid proof, and are appropriate for the intended use.;"Executive Decree 05-08 of 08 January 2005 on Particular Prescriptions Applicable to Hazardous Substances, Materials and Products in the Workplace; Art. 5";
1.5;General Hazardous Material Storage;Flammable materials of the first or second group are not left, or stored in the stairs, pathways, corridors, or in the vicinity of buildings' and premises' exits.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 52";
1.6;General Hazardous Material Storage;The facility does not store together explosive substances belonging to different compatibility groups in the same area.;"Presidential Decree 90-198 of 30 June 1990 on Explosives; Art. 5";
1.7;General Hazardous Material Storage;The floor of the premises where easily damageable materials or those presenting a risk of corrosion or irritation are stored is smooth, impermeable, and forms a leak-proof receptacle.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 4";
1.8;General Hazardous Material Storage;Walls, work tables and floors of premises where easily damageable materials or those presenting a risk of corrosion or irritation are stored are smooth, washed often and disinfected if need be.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 4";
1.9;General Hazardous Material Storage;"If the facility builds or operates a warehouse for explosive substances, it has obtained a prior authorization ""certificat d´autorisation d´exploiter"" to do so.";"Presidential Decree 90-198 of 30 June 1990 on Explosives; Art. 17 and Art. 26";"*Authorization from the Ministry of Energy and Mines (""Agrément"") to deal with dangerous materials and chemical substances"
1.10;General Hazardous Material Storage;The facility ensures areas devoted to storage of materials presenting risks associated with their nature or their configuration are separated from workstations and circulation paths.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 31";*Map of the facility identifying controlled and supervised areas
1.11;General Hazardous Material Storage;The stacking of bags, crates and loads of any nature of materials presenting risks associated to their nature or their configuration is entrusted only to qualified workers.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 31";
1.12;General Hazardous Material Storage;If the facility stores hazardous chemical substances and pressurized canisters, it only assigns workers accredited to do so by the Directorate of Energy of jurisdiction over the location where the hazardous substances and pressurized canisters are stored.;"Executive Decree 03-451 of 01 December 2003 on Safety Rules that Apply to Activities Related to Hazardous Material and Chemical as well as Pressure Vessels; Art. 7
Interministerial Order of 8 July 2014 establishing the conditions and methods for approving the staff tasked with the duties of storing hazardous chemicals and materials as well as pressurized gas containers; Art. 2; Art. 8
Interministerial Order of 25 November 2015 establishing the list and classification of hazardous materials and chemicals; Art. 2";*Nominative authorizations of the personnel who carries out the storage of hazardous chemical substances and gas pressure vessels
1.13;General Hazardous Material Storage;The facility ensures residues of damageable materials and those presenting a risk of corrosion or irritation are stored in hermetically sealed containers.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 4";
1.14;General Hazardous Material Storage;Containers of products likely to cause thermal or chemical burns to workers when handled or decanted and that are made of fragile materials are wrapped in shock resistant protective covers regardless of the transport and the means of unloading.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 32";
1.15;General Hazardous Material Storage;If the facility is building, or storing pressurized gas devices, the facility has fixed the design pressure according to the specifications stated in art. 5 Executive Decree No. 90-245 on pressurized gas devices.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 5";
1.16;General Hazardous Material Storage;All pressured gas instruments are marked on the metal or on a plate with the required information as defined by art. 7 of decree No. 90-245 on pressured gas devices.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 7";
1.17;General Hazardous Material Storage;Before taking on any construction work of gas pressure devices, for storage or distribution, the facility has applied for a pre-approval from the competent mining service.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 8";*Technical file
1.18;General Hazardous Material Storage;The facility constructing a gas pressure device has performed all the necessary testing during construction and after completion of the work.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 9";"*Verification test certificate
*Technical file"
1.19;General Hazardous Material Storage;The facility ensured that the pressurized gas storage device has passed a hydraulic pressure test.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 10";*Hydraulic pressure test document
2.1;Transport of Dangerous Goods;If the facility transports hazardous special wastes, it ensures they are contained in packages suitable to their nature, their state and the risk associated with them.;"Executive Decree No. 04-409 of 14 December 2004 on Special Hazardous Wastes Transport; Art. 4";
2.2;Transport of Dangerous Goods;If the facility transports hazardous special wastes, it ensures their packages have clear water-resistant and legible labels.;"Executive Decree No. 04-409 of 14 December 2004 on Special Hazardous Wastes Transport; Art. 6";
2.3;Transport of Dangerous Goods;If the facility transports hazardous special waste, it ensures that the transport means are suitable to their nature, their state and the associated risk.;"Executive Decree No. 04-409 of 14 December 2004 on Special Hazardous Wastes Transport; Art. 7";
2.4;Transport of Dangerous Goods;If the facility transports hazardous special waste, it ensures the vehicles used for transport are placarded from outside with clear signs specific to the category of waste being transported.;"Executive Decree No. 04-409 of 14 December 2004 on Special Hazardous Wastes Transport; Art. 9";
2.5;Transport of Dangerous Goods;"If the facility transports hazardous special waste, it ensures the load is accompanied by the movement document ""document de movement"" which has been signed by the necessary people.";"Executive Decree No. 04-409 of 14 December 2004 on Special Hazardous Wastes Transport; Art. 17";*Movement document for special wastes.
2.6;Transport of Dangerous Goods;If the facility transports hazardous special waste, it ensures the transport means are decontaminated after the transport of every load and before leaving the treatment facility.;"Executive Decree No. 04-409 of 14 December 2004 on Special Hazardous Wastes Transport; Art. 19";
2.7;Transport of Dangerous Goods by Road;If the facility transports hazardous materials, it has a prior authorization from the Ministry of transport.;"Executive Decree 03-452 of 01 December 2003 on Conditions Relative to Transport of Hazardous Materials by Road; Art. 5";*Authorization to transport hazardous materials by road
2.8;Transport of Dangerous Goods by Road;If the facility transports hazardous materials, it packs them in suitable packages according to their classification.;"Executive Decree 03-452 of 01 December 2003 on Conditions Relative to Transport of Hazardous Materials by Road; Art. 6";
2.9;Transport of Dangerous Goods by Road;Packages of hazardous materials are maintained in good condition of use.;"Executive Decree 03-452 of 01 December 2003 on Conditions Relative to Transport of Hazardous Materials by Road; Art. 7";
2.10;Transport of Dangerous Goods by Road;If the facility transports hazardous material, containers are labeled with the name of the substance, indications for proper usage, and the strategies to be adopted for control of or warning against the hazards associated with that material.;"Executive Decree 03-452 of 01 December 2003 on Conditions Relative to Transport of Hazardous Materials by Road; Art. 9";
