QN#;Heading;Requirement;Citation;Related Documents
1.1;Medical Surveillance;Workers exposed to high occupational hazards have at least one medical check-up each semester.;"Interministerial Decree of 09 June 1997 Listing Works Where Employees are Highly Exposed to Occupational Hazards; Art. 2";*Records of biannual medical check-ups of workers exposed to high occupational hazards
1.2;Medical Surveillance;The facility has created an autonomous service for occupational health.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 3";
1.3;Medical Surveillance;If the facility is not obliged to create an autonomous service for occupational health, it has created or joined an inter-enterprises occupational health service or signed a separate agreement or contract with the health sector.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 4";*Agreement or contract with the health sector for facilities that are not obliged to set up an autonomous service for occupational health
1.4;Medical Surveillance;If the facility opted for the creation of a service for occupational health, it has obtained a prior authorization from the Ministry of health.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 7";*Authorization for the creation of a service for occupational health.
1.5;Medical Surveillance;Workers at the facility undergo medical examinations when hired.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 17";*Records of medical examinations
1.6;Medical Surveillance;Workers undergo medical examinations as often as required, depending on the category into which they fall.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 15";*Records of medical examinations
1.7;Medical Surveillance;Workers at the facility undergo medical examinations after coming back from a period of absence, in the cases listed in article 17 of Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Health.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 17";*Records of medical examinations
1.8;Medical Surveillance;The autonomous occupational health service of the facility is involved in works of all entities inside the facility for issues relating to health and safety.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 21";
1.9;Medical Surveillance;The doctor appointed to occupational health and safety in the facility has unrestricted access to rooms and spaces devoted to works as well as the ones devoted to rest and wellbeing of the workers;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 26";
1.10;Medical Surveillance;The facility maintains and keeps up to date a register of hygiene, safety and occupational health.;"Executive Decree 05-08 of 08 January 2005 on Particular Prescriptions Applicable to Hazardous Substances, Materials and Products in the Workplace; Art. 12";*Register of hygiene, safety and occupational health
1.11;Medical Surveillance;If the facility organizes night shifts, it ensures the presence of medical auxiliaries during these shifts.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 30";
1.12;Medical Surveillance;If the medical examinations are carried out in an inter-enterprises medical service, or in a service dependant on the facility, the minimum number of medical staff is one doctor, one, nurse and one medical secretary.;"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 3";
1.13;Medical Surveillance;If the facility employs more than 2000 workers, a medical observation room with a bed is provided.;"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 5";
1.14;Medical Surveillance;If the medical examinations are carried out in an inter-enterprises medical service, or in a service dependant on the facility, the minimum number of medical rooms is an examination room, a room for health care, a complementary investigations room, a medical secretary, and a sanitary installation that is next to a waiting room.;"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 6";
1.15;Medical Surveillance;Pursuant to the medical examination carried out at the hiring stage of a worker, the doctor creates an aptitude document for medical visits where he states the aptitude of the worker to perform the work.;"Interministerial Decree of 16 October 2001 on Content, Establishment, and Maintenance of Documents by the Doctor in the Workplace; Art. 6";*Aptitude document for medical visits.
2.1;First Aid Provisions;There is an easily-accessible first-aid box in every work area.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 31";
2.2;First Aid Provisions;The first-aid box is under the responsibility of a first-aid worker.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 31";
2.3;First Aid Provisions;The first-aid box contains clear instructions for the first-aid measures to be provided.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 31";
2.4;First Aid Provisions;In work areas where hazardous works are carried out, one of several workers have received first-aid training.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 31";
2.5;First Aid Training;If the facility has workers with high, medium or low exposure to occupational risks, it appoints nurses depending on the number of employees and the level of exposure to occupational risks as set out in Order of 16 October 2001 on Implementation of Article 30 of Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Health Care.;"Order of 16 October 2001 on Implementation of Article 30 of Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Health Care; Art. 2";
2.6;First Aid Training;Employers ensure that workers providing first-aid measures are provided with appropriate training.;"Executive Decree 02-427 of 07 December 2002 on Conditions of Organizing Instruction, Information and Training of Workers on Occupational Hazards Prevention; Art. 19";*Employee training records
2.7;First Aid Training;The employer ensures regular training of nurses appointed in the facility.;"Order of 16 October 2001 on Implementation of Article 30 of Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Health Care; Art. 6";
3.1;Accident/Illness Investigation, Record keeping & Reporting;The doctor appointed to occupational health and safety by the facility is informed about the nature and composition of products used in the facility, the usage methods, and work posts where they are handled.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 24";
3.2;Accident/Illness Investigation, Record keeping & Reporting;The doctor appointed to occupational health and safety by the facility is informed about new processes adopted.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 24";
3.3;Accident/Illness Investigation, Record keeping & Reporting;The doctor appointed to occupational health and safety by the facility is informed about the results of all analysis and measurement undertaken in the facility.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 24";
3.4;Accident/Illness Investigation, Record keeping & Reporting;The facility maintains a register on hygiene, safety and occupational health.;"Executive Decree 96-98 of 06 March 1996 Determining the List and Content of Books and Special Registers to be Maintained by the Employer; Art. 2";*Register of hygiene, safety and occupational health
3.5;Accident/Illness Investigation, Record keeping & Reporting;The doctor appointed to occupational health and safety by the facility has established and maintains the medical documents listed in Article 29 of Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Health.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 29";"*Aptitude document for medical visits.
*Register for daily activity
*Register for entry, periodic and spontaneous medical examinations.
*Register for occupational diseases.
*Register for workrooms visits.
*Register of occupational vaccinations.
*Register specific to work posts with high exposure to occupational hazards."
3.6;Accident/Illness Investigation, Record keeping & Reporting;The doctor appointed to occupational health and safety by the facility has established a report detailing organization and functioning of medical activities undertaken in the facility.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 37";*Report detailing organization and functioning of medical activities undertaken in the facility.
3.7;Accident/Illness Investigation, Record keeping & Reporting;The worker's individual medical file pursuant to medical examination carried out at the hiring stage of a worker is maintained and communicated only to the doctor-inspector for that region.;"Interministerial Decree of 16 October 2001 on Content, Establishment, and Maintenance of Documents by the Doctor in the Workplace; Art. 3";*Workers individual medical files
3.8;Accident/Illness Investigation, Record keeping & Reporting;The doctor appointed to occupational health and safety by the facility declares any contagious diseases and all other diseases that may have occupational origins to the competent health service.;"Executive Decree 93-120 of 15 May 1993 on Organization of Occupational Medicine; Art. 28";*Declaration of contagious diseases and all other diseases that may have occupational origins.
3.9;Accident/Illness Investigation, Record keeping & Reporting;The employer declares occupational accidents involving a worker to the social security service.;"Law 83-13 of 2 July 1983 on Occupational Diseases and Accidents; Art. 13";*Declaration of occupational accidents
3.10;Accident/Illness Investigation, Record keeping & Reporting;The facility maintains a register of occupational accidents.;"Executive Decree 96-98 of 06 March 1996 Determining the List and Content of Books and Special Registers to be Maintained by the Employer; Art. 2";*Register of occupational accidents
3.11;Accident/Illness Investigation, Record keeping & Reporting;If the facility uses processes likely to induce occupational diseases, it declares them to the social security service, the labor inspector and to the director of health in the governorate (WILAYA) as well as the authorities in charge of hygiene and safety.;"Law 83-13 of 2 July 1983 on Occupational Diseases and Accidents; Art. 69";*Declaration of contagious diseases and all other diseases that may have occupational origins.
4.1;General Workplace Requirements;Building and spaces devoted to working and their environment, including installations at the disposal of workers, are maintained in good state of cleanliness and hygiene necessary for workers’ health.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 4";
4.2;General Workplace Requirements;The facility cleans its floors periodically and does so without generation of dust.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 3";
4.3;General Workplace Requirements;The facility avoids over-crowding in buildings and workstations, including annexes.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 5";
4.4;General Workplace Requirements;The facility ensures that pedestrian pathways are marked with signals.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 27";
4.5;General Workplace Requirements;Buildings and workspaces, including annexes, are in a condition that do not threaten the workers' safety during the functioning of engines or machines, or transportation and handling.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 5";
4.6;General Workplace Requirements;The facility buildings and workstations, including annexes, are safe for the workers to move around in.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 5";
