QN#;Heading;Requirement;Citation;Related Documents
1.1;General Duty of Care;Adequate measures are taken to ensure the health and safety of workers.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 3";
1.2;General Duty of Care;The facility maintains and keeps up to date a register for hazardous substances, products and preparations used in the workplace.;"Executive Decree 05-08 of 08 January 2005 on Particular Prescriptions Applicable to Hazardous Substances, Materials and Products in the Workplace; Art. 12";*Register for dangerous substances, products and preparations.
1.3;General Prevention Requirements;If the facility has 20 or more workers, internal rules and regulations have been established.;"Law 90-11 of 21 April 1990 on Labor Relations; Art. 75";*Internal rules and regulations for facilities of 20 or more workers.
1.4;General Prevention Requirements;The employer has notified and informed the workers on the content of the internal rules and regulation.;"Law 90-11 of 21 April 1990 on Labor Relations; Art. 75";
1.5;OHS Expert Persons/Services;If the facility employs 800 to 2000 workers and has an autonomous service for occupational health, and if workers are highly exposed to occupational hazards, the facility appoints 2 nurses.;"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 2";
1.6;OHS Expert Persons/Services;If the facility employs more than 2,000 workers and has an autonomous service for occupational health, and if workers are highly exposed to occupational hazards, the facility appoints one additional nurse per each additional 1,000 workers.;"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 2";
1.7;OHS Expert Persons/Services;"If the facility employs 500 workers and has an autonomous service for occupational health, and if workers are ""minimally exposed"" to occupational hazards, the facility appoints one nurse.";"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 2";
1.8;OHS Expert Persons/Services;"If the facility employs 1000 workers or more and has an autonomous service for occupational health, and if workers are ""minimally exposed"" to occupational hazards, the facility appoints 2 nurses.";"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 2";
1.9;OHS Expert Persons/Services;"If the facility workers' are highly exposed to occupational hazards, and their number is less than 200 or if the workers are ""minimally exposed"" and their number does not exceed 500, The facility appoints a nurse to the infirmary.";"Decree of 16 October 2001 Setting Norms Relative to Human Means, Premises and Equipment of Occupational Health Services; Art. 4";
1.10;OHS Expert Persons/Services;If the facility employs more than 9 workers with a fixed term contract, it appoints a permanent person for hygiene and safety assisted by 2 workers recognized as the most qualified for the task.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 23";
1.11;OHS Expert Persons/Services;If the facility employs nine workers or less, it appoints a person for hygiene and safety.;"Law 88-07 of 26 January 1988 on Hygiene, Safety, and Occupational Health Care; Art. 23";
