QN#;Heading;Requirement;Citation;Related Documents
1.1;Machinery & Work Equipment Safety;Access to engine rooms is strictly restricted to authorized workers only.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 38";
1.2;Machinery & Work Equipment Safety;The control panel of electric switches operating the machines are within reach of the operators.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 39";
1.3;Machinery & Work Equipment Safety;Supervisory staff have at their disposal the technical means to either directly stop machines or ask for them to be stopped.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 39";
1.4;Machinery & Work Equipment Safety;Machinery and devices used for operations or maintenance are run and used in such a way so as to protect workers from dangerous or moving parts.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 40";
1.5;Machinery & Work Equipment Safety;Workers working close to machinery and devices having dangerous or moving parts wear adjusted and non-flowing clothes.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 40";
1.6;Machinery & Work Equipment Safety;Under normal use, machinery is guarded in such a way so as to protect workers from dangerous parts of machinery and devices or from moving mechanisms.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 41";
1.7;Machinery & Work Equipment Safety;The control panel of machinery with cylinders or rollers is controllable by any of the workers working on the cylinders.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 43";
1.8;Machinery & Work Equipment Safety;Workers are not assigned to repair, maintain or verify transmission systems, machinery or mechanisms with moving parts while they are in use.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 66";
1.9;Machinery & Work Equipment Safety;Machinery with cylinders or rollers that does not have an automatic system for reversing the movement are equipped with a mechanical system that allows for a manual reversing of the cylinders´ movement.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 43";
1.10;Machinery & Work Equipment Safety;Presses (hydraulic or mechanical) are equipped with adequate safety devices to avoid any contact, even involuntary, of workers' hands with the working part of the machinery.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 44";
1.11;Machinery & Work Equipment Safety;Machinery and devices presenting a particular risk are checked, inspected and regularly maintained by workers.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 63";*Inspection records for machinery and devices presenting a particular risk
1.12;Machinery & Work Equipment Safety;The results of visits, verifications and check-ups on machinery, systems and devices are recorded on a register maintained for that purpose.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 64";*Register of technical verifications of equipment and installations
1.13;Machinery & Work Equipment Safety;Workers are not assigned to cleaning, drying up, wiping up, degreasing, or putting adhesive by hand on machinery, mechanisms, or transmission systems while they are in use.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 66";
2.1;Lock Out / Tag Out;The control panel of machinery is located in such a way as to be easily activated in one easy movement by the worker operating the machine.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 43";
2.2;Lock Out / Tag Out;There is a device for switching off the power in the event of an emergency on every electrical system directly linked to the machine used or to the electric current source.;"Executive Decree 01-342 of 28 October 2001 on Specific Provisions for the Protection of Workers Against Electrical Risks in the Workplace; Art. 16";
2.3;Lock Out / Tag Out;All machines or devices are installed and maintained in such a way as to be isolated from their energy sources.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 39";
3.1;Confined Spaces;Appropriate measures are taken to reduce risk before work commences in a confined space.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 12";
3.2;Confined Spaces;Workers working in confined spaces are protected with safety devices adequate to the type of risk they are exposed to.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 12";
3.3;Confined Spaces;No worker working in a confined space is left alone without surveillance.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 12";
4.1;Lifting Equipment, Material Handling Equipment;Workers are provided with lifting, handling and transport equipment to handle loads exceeding 50 kilograms for male workers or 25 kilograms for female or young workers.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 26";
4.2;Lifting Equipment, Material Handling Equipment;Inspections and maintenance of material handling and lifting equipment are only carried out by competent personnel designated by the employer.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 62";
4.3;Lifting Equipment, Material Handling Equipment;Lifting and material handling equipment is inspected and maintained regularly.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 62";*Inspection records for lifting and material handling equipment
5.1;Fall Protection / Working at Heights;Tanks and basins are equipped with fences or walls protecting workers from falling.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 34";
5.2;Fall Protection / Working at Heights;Platforms, floors, footbridges, scaffolding, and their access points at workplaces are protected with rigid fences.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 33";
5.3;Fall Protection / Working at Heights;Pits, openings in the floor and traps are protected by properly marked fences.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 34";
5.4;Fall Protection / Working at Heights;Ladders are robust, and made from rigid materials.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 36";
5.5;Fall Protection / Working at Heights;Workers do not transport objects whose weight exceeds 50 kilograms or bulky items on ladders.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 36";
5.6;Fall Protection / Working at Heights;Stairs of tanks are equipped with banisters.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 34";
6.1;Pressure Vessels/Systems;The identity of the manufacturer, the location and year of manufacture, the serial number, the internal volume, the maximum pressure and the main condition of use of the device are written on each pressure vessel supplied with gas.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 7";
6.2;Pressure Vessels/Systems;Unless exempted on the basis of the type of pressure vessels the facility has obtained a certificate which certifies that its pressure vessels supplied with gas or vapor have been verified in order to allow their hydraulic pressure test, if such test is required.;"Executive Decree No. 90-245 of 18 August 1990 regulating Gas Pressure Vessels; Art. 9, 14
Executive Decree 90-246 of 18 August 1990 regulating Pressure Vessels Supplied with Vapor; Art. 31 and Art. 35";*Gas or vapor pressure vessel verification certificate
