QN#;Heading;Requirement;Citation;Related Documents
1.1;Chemical Packaging;The facility ensures that all hazardous substances, materials and preparations are kept in solid, leak-proof and appropriate packaging.;"Executive Decree 05-08 of 08 January 2005 on Particular Prescriptions Applicable to Hazardous Substances, Materials and Products in the Workplace; Art. 5";
1.2;Chemical Packaging;If the company transports hazardous materials of class 4, it packages these materials in accordance with the packaging provisions set out in chapter 2 section 1 of Ministerial Order of 2 November 2000 on Road Transport of Flammable Solids, Spontaneously combustible materials, Substances that on contact with Water, Emit Flammable gases;"Ministerial Order of 2 November 2000 on Road Transport of Flammable Solids, Spontaneously combustible materials, Substances that on contact with Water, Emit Flammable gases; Chapter 2; Section 1";
1.3;Chemical Labeling;Hazardous materials, products or substances at the facility are labeled, and properly marked so as to allow their identification.;"Executive Decree 05-08 of 08 January 2005 on Particular Prescriptions Applicable to Hazardous Substances, Materials and Products in the Workplace; Art. 6";
2.1;Use and Marketing Restrictions / Prohibitions;The facility does not import, manufacture or distribute consumption products which contain forbidden substances.;"Executive Decree 97-254 of 8 July 1997 relating to the Prior Authorization to Obtain for the Manufacture and Import of Toxic Products; Art. 4";
2.2;Use and Marketing Restrictions / Prohibitions;If the facility imports, manufactures or distributes consumption products with toxic attributes or that are likely to generate a specific risk, it has obtained a prior valid authorization from the Minister for Trade.;"Executive Decree 97-254 of 8 July 1997 relating to the Prior Authorization to Obtain for the Manufacture and Import of Toxic Products; Art. 1";*Authorization for the import, manufacture or distribution of consumption products with toxic attributes or that are likely to generate a specific risk
2.3;Use and Marketing Restrictions / Prohibitions;If the company is accredited by the Minister of Energy for supplying hazardous chemicals and materials as well as pressurized gas containers to the local market in Algeria, it submits copies of the authorizations of the buyers of such material to the local Energy Directorate.;"Interministerial Order of 19 June 2014 establishing the conditions and procedures for the acquisition of hazardous chemicals and materials from the local market by natural or legal persons whose professional or personal activities require the occasional use of such materials and chemicals; Art. 9";*Copies of the authorizations of the buyers of hazardous chemicals and materials
2.4;Use and Marketing Restrictions / Prohibitions;If the facility manufactures or imports consumption products with a risk of toxicity or a specific risk it has submitted the entire formulas of these products to the anti-poison center in the correct way.;"Interministerial Order of 28 December 1997 establishing the List of Consumption Products that are likely to Create a Toxicity Risk and the Lists of Substances which Use is Forbidden for the Manufacture of these Products; Art. 3 and Art. 6";"*Proof of the submission of consumption products with toxic attributes or that are likely to generate a specific risk
*Declaration of the formula of the products with a risk of toxicity to the antipoison center"
2.5;Use and Marketing Restrictions / Prohibitions;If the company has acquired hazardous chemicals and materials or pressurized gas containers based on an authorization from the Walli of jurisdiction, it immediately notifies the Walli when it stops its activities.;"Interministerial Order of 19 June 2014 establishing the conditions and procedures for the acquisition of hazardous chemicals and materials from the local market by natural or legal persons whose professional or personal activities require the occasional use of such materials and chemicals; Art. 12
Interministerial Order of 25 November 2015 establishing the list and classification of hazardous materials and chemicals; Art. 2";*Copy of the notification sent to the Wali of jurisdiction on the stoppage of activities of the company containing hazardous chemicals and materials
2.6;Use and Marketing Restrictions / Prohibitions;The facility does not import, manufacture or distribute consumption products which contain regulated substances in quantities that exceed the relevant thresholds.;"Interministerial Order of 28 December 1997 establishing the List of Consumption Products that are likely to Create a Toxicity Risk and the Lists of Substances which Use is Forbidden for the Manufacture of these Products; Art. 9";
2.7;Use and Marketing Restrictions / Prohibitions;If the facility acquires hazardous materials and/or chemical substances from the local market, it only trades with operators that have obtained a valid accreditation from the Ministry of Energy and Mines.;"Executive Decree 03-451 of 01 December 2003 on Safety Rules that Apply to Activities Related to Hazardous Material and Chemical as well as Pressure Vessels; Art. 9
Interministerial Order of 25 November 2015 establishing the list and classification of hazardous materials and chemicals; Art. 2";
