id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Prévention des incendies;Les bâtiments et les lieux de travail, y compris les annexes, sont protégés contre les incendies et les explosions.;"Loi 88-07 du 26 janvier 1988 sur l'hygiène, la sécurité et les soins de santé au travail; Art. 5";nan
2;1;2;Prévention des incendies;Les locaux et les postes de travail associés aux risques d'incendie en raison d'une utilisation permanente de matériaux et de substances hautement inflammables sont isolés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 46";nan
3;1;3;Prévention des incendies;Les zones où les matériaux inflammables du groupe 1 sont manipulés ou utilisés sont exempts de sources de flammes, d'appareils ou de pièces susceptibles d'être chauffées.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 50";nan
4;1;4;Prévention des incendies;Le tabagisme est interdit dans les zones où les matériaux inflammables du groupe 1 sont manipulés ou utilisés, et les travailleurs sont informés de cette restriction.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 50";nan
5;1;5;Prévention des incendies;Dans les bâtiments ou les locaux où les manipulations inflammables du groupe 1 sont manipulées ou utilisées, les travailleurs ne laissent pas de liquides inflammables en quantités dépassant leur utilisation quotidienne.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 51";nan
6;1;6;Prévention des incendies;Les liquides inflammables ne sont placés que dans des récipients à l'épreuve des fuites, et s'ils sont en verre, ils sont résistants aux chocs.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 51";nan
7;1;7;Prévention des incendies;Dans les zones où les matériaux inflammables du groupe 2 sont gérés, produits, traités ou stockés, le câblage électrique et l'équipement sont équipés de dispositifs pour empêcher le contact et la surchauffe de ces matériaux.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 53";nan
8;1;8;Prévention des incendies;Les dispositifs dont le fonctionnement provoque des étincelles ou des incandescence ne sont pas utilisés dans des zones où les matériaux inflammables du groupe 2 sont manipulés, produits, traités ou stockés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 53";nan
9;1;9;Prévention des incendies;La liste des exercices et des exercices d'incendie ainsi que les observations sur les exercices de lutte contre les incendies et l'utilisation d'équipements de premiers soins sont indiqués dans la Commission d'hygiène et de sécurité des délibérations.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 60";* Commission d'hygiène et de sécurité Registre des délibérations
10;1;10;Prévention des incendies;Les dispositifs dont le fonctionnement provoque des étincelles ou des incandescence ne sont pas utilisés dans les zones où les matériaux inflammables du groupe 1 sont manipulés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 50";nan
11;1;11;Prévention des incendies;Si l'installation exploite un immeuble de grande hauteur, il est conforme aux exigences de prévention des incendies énumérées en vertu de l'article 7 du décret n ° 76-35 du 20 février 1976, fixant les règles de sécurité contre les incendies et la panique dans les grands bâtiments.;"Décret n ° 76-35 daté du 20 février 1976 fixant les règles de sécurité contre les incendies et la panique dans les immeubles de grande hauteur; Art. 7";nan
12;1;12;Prévention des incendies;Si l'installation exploite un immeuble de grande hauteur, il garantit qu'un système d'alarme incendie approprié et un équipement de lutte contre les incendies sont mis à disposition en cas d'incendie.;"Décret n ° 76-35 daté du 20 février 1976 fixant les règles de sécurité contre les incendies et la panique dans les immeubles de grande hauteur; Art. 7 (4)";nan
13;1;13;Prévention des incendies;Si l'installation exploite un immeuble de grande hauteur, il garantit que le bâtiment est enregistré auprès du Département de la Défense civile avant l'occupation du bâtiment.;"Décret n ° 76-35 daté du 20 février 1976 fixant les règles de sécurité contre les incendies et la panique dans les immeubles de grande hauteur; Art. 23";* Records de l'enregistrement du bâtiment auprès du Département de la Défense civile
14;1;14;Prévention des incendies;Si l'installation exploite un immeuble de grande hauteur, il garantit que les bâtiments sont divisés d'une manière qui empêche la propagation du feu et doit être faite de matériaux non inflammables.;"Décret n ° 76-35 daté du 20 février 1976 fixant les règles de sécurité contre les incendies et la panique dans les immeubles de grande hauteur; Art. 7 (1)";nan
15;1;15;Prévention des incendies;Si l'entreprise possède, exploite ou a l'intention de construire des bâtiments ou des tours élevés accessibles par le public, il effectue une surveillance périodique sur l'équipement de détection d'incendie, l'équipement de contrôle de la fumée et la ventilation.;"Loi n ° 19-02 pour les règles générales pour la prévention des risques d'incendie et de panique; Article 4; Article 5";nan
16;1;16;Prévention des incendies;Si l'entreprise possède, exploite ou a l'intention de construire des bâtiments ou des tours élevés accessibles par le public, il installe des équipements résistants au feu et des éléments de construction spécifiques qui sont classés en fonction de la façon dont ils réagissent au feu;"Loi n ° 19-02 pour les règles générales pour la prévention des risques d'incendie et de panique; Article 9";nan
17;1;17;Évacuation;Dans les zones où les matériaux inflammables du premier ou du deuxième groupe sont manipulés ou utilisés, les postes de travail sont placés à une distance minimale de 10 mètres de toute sortie.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 52";nan
18;1;18;Évacuation;Il y a des sorties suffisantes des locaux et des bâtiments situés de manière à assurer une évacuation rapide des travailleurs en cas d'incendie.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 54";nan
19;1;19;Évacuation;Les sorties des locaux et des bâtiments sont marquées de signaux visibles le jour et la nuit.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 55";nan
