id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Stockage et manipulation;L'installation limite son utilisation de matières dangereuses, de substances ou de produits au minimum généralement nécessaire pour le processus de production.;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particulières applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 11";nan
2;1;2;Stockage et manipulation;L'accès est réglementé dans les zones où les matériaux inflammables du groupe 1 sont manipulés ou utilisés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 31";nan
3;1;3;Stockage et manipulation;Les matières dangereuses, produits ou substances de l'installation sont étiquetées et correctement marquées de manière à permettre leur identification.;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particulières applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 6";nan
4;1;4;Stockage général des matières dangereuses;Les paquets de matières dangereuses, de produits et de substances stockées / utilisées sur le site sont solides, sont des preuves liquides et conviennent à l'utilisation prévue.;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particulières applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 5";nan
5;1;5;Stockage général des matières dangereuses;Les matériaux inflammables du premier ou du deuxième groupe ne sont pas laissés ou stockés dans les escaliers, les voies, les couloirs ou à proximité des sorties des bâtiments et des locaux.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 52";nan
6;1;6;Stockage général des matières dangereuses;L'installation ne stocke pas ensemble de substances explosives appartenant à différents groupes de compatibilité dans la même zone.;"Décret présidentiel 90-198 du 30 juin 1990 sur les explosifs; Art. 5";nan
7;1;7;Stockage général des matières dangereuses;Le plancher des locaux où des matériaux facilement dommageables ou ceux présentant un risque de corrosion ou d'irritation sont stockés est lisse, imperméable et constitue un réceptacle à l'épreuve des fuites.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 4";nan
8;1;8;Stockage général des matières dangereuses;Les murs, les tables de travail et les sols des locaux où des matériaux facilement dommageables ou ceux présentant un risque de corrosion ou d'irritation sont stockés sont lisses, lavés souvent et désinfectés si besoin est.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 4";nan
9;1;9;Stockage général des matières dangereuses;"Si l'installation construit ou exploite un entrepôt pour des substances explosives, il a obtenu une autorisation préalable ""Certificat d´autorisation d´Exploter"" pour le faire.";"Décret présidentiel 90-198 du 30 juin 1990 sur les explosifs; Art. 17 et art. 26";"* L'autorisation du ministère de l'Énergie et des Mines (""Agrément"") pour faire face aux matériaux dangereux et aux substances chimiques"
10;1;10;Stockage général des matières dangereuses;L'installation garantit que les zones consacrées au stockage des matériaux présentant des risques associés à leur nature ou leur configuration sont séparées des postes de travail et des chemins de circulation.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 31";* Carte de l'installation identifiant les zones contrôlées et supervisées
11;1;11;Stockage général des matières dangereuses;L'empilement des sacs, des caisses et des charges de toute nature de matériaux présentant des risques associés à leur nature ou à leur configuration est confié uniquement aux travailleurs qualifiés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 31";nan
12;1;12;Stockage général des matières dangereuses;Si l'installation stocke les substances chimiques dangereuses et les bidons sous pression, il n'attribue que les travailleurs accrédités à le faire par la Direction de l'énergie de compétence sur l'emplacement où les substances dangereuses et les cartouches sous pression sont stockées.;"Décret exécutif 03-451 du 01 décembre 2003 sur les règles de sécurité qui s'appliquent aux activités liées aux matières dangereuses et aux produits chimiques ainsi qu'aux navires sous pression; Art. 7
Ordonnance interministérale du 8 juillet 2014 établissant les conditions et méthodes d'approbation du personnel chargées des tâches de stockage des produits chimiques et des matériaux dangereux ainsi que des conteneurs de gaz sous pression; Art. 2; Art. 8
Ordonnance interministérielle du 25 novembre 2015 établissant la liste et la classification des matières dangereuses et des produits chimiques; Art. 2";* Autorisations nominatives du personnel qui effectue le stockage de substances chimiques dangereuses et de navires de pression de gaz
13;1;13;Stockage général des matières dangereuses;L'installation garantit que les résidus des matériaux dommageables et ceux présentant un risque de corrosion ou d'irritation sont stockés dans des conteneurs hermétiquement scellés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 4";nan
14;1;14;Stockage général des matières dangereuses;Les conteneurs de produits susceptibles de provoquer des brûlures thermiques ou chimiques aux travailleurs lorsqu'ils sont manipulés ou décantés et qui sont faits de matériaux fragiles sont enveloppés dans des couvertures de protection résistantes aux chocs, quel que soit le transport et les moyens de déchargement.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 32";nan
15;1;15;Stockage général des matières dangereuses;Si l'installation construit ou stockant des dispositifs de gaz sous pression, l'installation a fixé la pression de conception en fonction des spécifications indiquées dans l'art. 5 décret exécutif n ° 90-245 sur les dispositifs de gaz sous pression.;"Décret exécutif n ° 90-245 du 18 août 1990 réglementant les navires de pression de gaz; Art. 5";nan
16;1;16;Stockage général des matières dangereuses;Tous les instruments à gaz sous pression sont marqués sur le métal ou sur une assiette avec les informations requises telles que définies par l'art. 7 du décret n ° 90-245 sur les dispositifs de gaz sous pression.;"Décret exécutif n ° 90-245 du 18 août 1990 réglementant les navires de pression de gaz; Art. 7";nan
17;1;17;Stockage général des matières dangereuses;Avant de prendre des travaux de construction de dispositifs de pression de gaz, pour le stockage ou la distribution, l'installation a demandé une pré-approbation du service minier compétent.;"Décret exécutif n ° 90-245 du 18 août 1990 réglementant les navires de pression de gaz; Art. 8";* Fichier technique
18;1;18;Stockage général des matières dangereuses;L'installation qui construit un dispositif de pression de gaz a effectué tous les tests nécessaires pendant la construction et après la fin des travaux.;"Décret exécutif n ° 90-245 du 18 août 1990 réglementant les navires de pression de gaz; Art. 9";"* Certificat de test de vérification
* Fichier technique"
19;1;19;Stockage général des matières dangereuses;L'installation a assuré que le dispositif de stockage de gaz sous pression a réussi un test de pression hydraulique.;"Décret exécutif n ° 90-245 du 18 août 1990 réglementant les navires de pression de gaz; Art. 10";* Document de test de pression hydraulique
20;2;1;Transport de marchandises dangereuses;Si l'installation transporte des déchets spéciaux dangereux, il garantit qu'ils sont contenus dans des forfaits adaptés à leur nature, à leur état et au risque qui leur est associé.;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 4";nan
21;2;2;Transport de marchandises dangereuses;Si l'installation transporte des déchets spéciaux dangereux, il garantit que leurs forfaits ont des étiquettes claires résistantes à l'eau et lisibles.;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 6";nan
22;2;3;Transport de marchandises dangereuses;Si l'installation transporte des déchets spéciaux dangereux, il garantit que les moyens de transport conviennent à leur nature, à leur état et au risque associé.;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 7";nan
23;2;4;Transport de marchandises dangereuses;Si l'installation transporte des déchets spéciaux dangereux, il garantit que les véhicules utilisés pour le transport sont placés de l'extérieur avec des panneaux clairs spécifiques à la catégorie de déchets transportés.;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 9";nan
24;2;5;Transport de marchandises dangereuses;"Si l'installation transporte des déchets spéciaux dangereux, il garantit que la charge est accompagnée du document de mouvement ""Document de Movement"" qui a été signé par les personnes nécessaires.";"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 17";* Document de mouvement pour les déchets spéciaux.
25;2;6;Transport de marchandises dangereuses;Si l'installation transporte des déchets spéciaux dangereux, il garantit que les moyens de transport sont décontaminés après le transport de chaque charge et avant de quitter le centre de traitement.;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 19";nan
26;2;7;Transport de marchandises dangereuses par route;Si l'installation transporte des matières dangereuses, elle a une autorisation préalable du ministère des Transports.;"Décret exécutif 03-452 du 01 décembre 2003 sur les conditions relatives au transport de matières dangereuses par la route; Art. 5";* Autorisation de transporter les matières dangereuses par route
27;2;8;Transport de marchandises dangereuses par route;Si l'installation transporte des matières dangereuses, elle les emballe dans des forfaits appropriés en fonction de leur classification.;"Décret exécutif 03-452 du 01 décembre 2003 sur les conditions relatives au transport de matières dangereuses par la route; Art. 6";nan
28;2;9;Transport de marchandises dangereuses par route;Les paquets de matières dangereuses sont maintenues en bon état d'utilisation.;"Décret exécutif 03-452 du 01 décembre 2003 sur les conditions relatives au transport de matières dangereuses par la route; Art. 7";nan
