id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Surveillance médicale;Les travailleurs exposés à des risques professionnels élevés ont au moins un examen médical chaque semestre.;"Décret interministériel du 09 juin 1997 répertoriant les travaux où les employés sont très exposés aux risques professionnels; Art. 2";* Dossiers des contrôles médicaux biannaux des travailleurs exposés à des risques professionnels élevés
2;1;2;Surveillance médicale;L'établissement a créé un service autonome pour la santé au travail.;"Décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la médecine professionnelle; Art. 3";nan
3;1;3;Surveillance médicale;Si l'établissement n'est pas obligé de créer un service autonome pour la santé au travail, il a créé ou rejoint un service de santé au travail inter-entreprises ou signé un accord ou un contrat distinct avec le secteur de la santé.;"Décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la médecine professionnelle; Art. 4";* Accord ou contrat avec le secteur de la santé pour des installations qui ne sont pas obligées de mettre en place un service autonome pour la santé au travail
4;1;4;Surveillance médicale;Si l'établissement a opté pour la création d'un service pour la santé au travail, il a obtenu une autorisation préalable du ministère de la Santé.;"Décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la médecine professionnelle; Art. 7";* Autorisation pour la création d'un service pour la santé au travail.
5;1;5;Surveillance médicale;Les travailleurs de l'établissement subissent des examens médicaux lorsqu'ils sont embauchés.;"Loi 88-07 du 26 janvier 1988 sur l'hygiène, la sécurité et les soins de santé au travail; Art. 17";* Dossiers des examens médicaux
6;1;6;Surveillance médicale;Les travailleurs subissent des examens médicaux aussi souvent que nécessaire, selon la catégorie dans laquelle ils tombent.;"Décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la médecine professionnelle; Art. 15";* Dossiers des examens médicaux
7;1;7;Surveillance médicale;Les travailleurs de l'établissement subissent des examens médicaux après être revenus d'une période d'absence, dans les cas énumérés à l'article 17 du décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la santé au travail.;"Décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la médecine professionnelle; Art. 17";* Dossiers des examens médicaux
8;1;8;Surveillance médicale;Le service autonome de santé professionnelle de l'établissement est impliqué dans les travaux de toutes les entités de l'établissement pour des problèmes liés à la santé et à la sécurité.;"Décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la médecine professionnelle; Art. 21";nan
9;1;9;Surveillance médicale;Le médecin nommé en santé et sécurité au travail dans l'établissement a un accès sans restriction aux chambres et aux espaces consacrés aux travaux ainsi que ceux consacrés au repos et au bien-être des travailleurs;"Décret exécutif 93-120 du 15 mai 1993 sur l'organisation de la médecine professionnelle; Art. 26";nan
10;1;10;Surveillance médicale;L'établissement maintient et tient à jour un registre de l'hygiène, de la sécurité et de la santé au travail.;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particulières applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 12";* Registre de l'hygiène, de la santé et de la santé au travail
