id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Devoir de diligence;Des mesures adéquates sont prises pour assurer la santé et la sécurité des travailleurs.;"Loi 88-07 du 26 janvier 1988 sur l'hygiène, la sécurité et les soins de santé au travail; Art. 3";nan
2;1;2;Devoir de diligence;L'installation maintient et tient à jour un registre pour les substances, produits et préparations dangereux utilisés sur le lieu de travail.;"Décret exécutif 05-08 du 08 janvier 2005 sur des prescriptions particulières applicables aux substances, matériaux et produits dangereux en milieu de travail; Art. 12";* Inscrivez-vous aux substances, produits et préparations dangereux.
3;1;3;Exigences de prévention générale;Si l'installation compte 20 travailleurs ou plus, des règles et règlements internes ont été établis.;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 75";* Règles et règlements internes pour les installations de 20 travailleurs ou plus.
4;1;4;Exigences de prévention générale;L'employeur a informé et informé les travailleurs du contenu des règles et règlements internes.;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 75";nan
5;1;5;Persons / services d'experts OST;Si l'établissement emploie 800 à 2000 travailleurs et a un service autonome pour la santé au travail, et si les travailleurs sont très exposés aux risques professionnels, l'établissement nomme 2 infirmières.;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";nan
6;1;6;Persons / services d'experts OST;Si l'établissement emploie plus de 2 000 travailleurs et dispose d'un service autonome pour la santé au travail, et si les travailleurs sont très exposés aux risques professionnels, l'établissement nomme une infirmière supplémentaire pour chaque 1 000 travailleurs supplémentaires.;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";nan
7;1;7;Persons / services d'experts OST;Si l'établissement emploie 500 travailleurs et dispose d'un service autonome pour la santé au travail, et si les travailleurs sont «mini-exposés» aux risques professionnels, l'établissement nomme une infirmière.;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";nan
8;1;8;Persons / services d'experts OST;Si l'établissement emploie 1000 travailleurs ou plus et dispose d'un service autonome pour la santé au travail, et si les travailleurs sont «mini-exposés» aux risques professionnels, l'établissement nomme 2 infirmières.;"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 2";nan
9;1;9;Persons / services d'experts OST;"Si les travailleurs de l'installation sont très exposés aux risques professionnels et que leur nombre est inférieur à 200 ou si les travailleurs sont ""minimalement exposés"" et que leur nombre ne dépasse pas 500, l'établissement nomme une infirmière à l'infirmerie.";"Décret du 16 octobre 2001 établissant des normes relatives aux moyens humains, locaux et équipements des services de santé au travail; Art. 4";nan
10;1;10;Persons / services d'experts OST;Si l'établissement emploie plus de 9 travailleurs avec un contrat à durée déterminée, il nomme une personne permanente pour l'hygiène et la sécurité assistées par 2 travailleurs reconnus comme les plus qualifiés pour la tâche.;"Loi 88-07 du 26 janvier 1988 sur l'hygiène, la sécurité et les soins de santé au travail; Art. 23";nan
11;1;11;Persons / services d'experts OST;Si l'établissement emploie neuf travailleurs ou moins, il nomme une personne pour l'hygiène et la sécurité.;"Loi 88-07 du 26 janvier 1988 sur l'hygiène, la sécurité et les soins de santé au travail; Art. 23";nan
12;1;12;Persons / services d'experts OST;La personne nommée pour l'hygiène et la sécurité dans l'établissement communique à l'employeur un rapport annuel sur l'état des risques professionnels.;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l'hygiène et la sécurité; Art. 25";* Rapport annuel sur l'état des risques professionnels.
13;1;13;Persons / services d'experts OST;L'installation garantit que le registre de l'hygiène, de la santé et de la santé au travail ainsi que le registre des accidents professionnels est mis à la disposition de l'inspecteur du travail et de tout autre organisme autorisé.;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l'hygiène et la sécurité; Art. 20";"* Registre des accidents professionnels
* Inscrivez-vous à la sécurité et à la santé au travail"
14;1;14;Persons / services d'experts OST;L'employeur s'assure que le rapport annuel sur l'état des risques professionnels ainsi que le rapport d'évaluation (rapport Bilan) sont conservés dans le registre de l'hygiène, de la sécurité et de la santé au travail.;"Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l'hygiène et la sécurité; Art. 25";"* Rapport annuel sur l'état des risques professionnels.
* Registre de l'hygiène, de la santé et de la santé au travail"
15;1;15;Comité H&S;Un comité de participation a été créé dans un établissement ayant au moins 20 employés.;"Loi 90-11 du 21 avril 1990 sur les relations de travail; Art. 93";nan
16;1;16;Comité H&S;Si l'établissement emploie plus de 50 employés, il crée un service (section) pour l'hygiène et la sécurité.;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d'organisation du service et de la sécurité d'hygiène; Art. 3";nan
17;1;17;Comité H&S;Le service d'hygiène et de sécurité est de la responsabilité du personnel qualifié et expérimenté.;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d'organisation du service et de la sécurité d'hygiène; Art. 6";nan
18;1;18;Comité H&S;Le service d'hygiène et de sécurité maintient et met à jour un registre pour l'hygiène, la sécurité et la santé au travail.;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d'organisation du service et de la sécurité d'hygiène; Art. 13";* Inscrivez-vous à la sécurité et à la santé au travail
19;1;19;Comité H&S;Le service d'hygiène et de sécurité maintient et met à jour un registre des vérifications techniques de l'équipement et des installations.;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d'organisation du service et de la sécurité d'hygiène; Art. 13";* Registre des vérifications techniques de l'équipement et des installations
20;1;20;Comité H&S;Si l'installation emploie plus de neuf travailleurs ayant un contrat de durée indéterminé, il crée des commissions bipartites pour l'hygiène et la sécurité.;"Loi 88-07 du 26 janvier 1988 sur l'hygiène, la sécurité et les soins de santé au travail; Art. 23
Décert exécutif 05-09 du 08 janvier 2005 sur les commissions conjointes pour l'hygiène et la sécurité; Art. 2";nan
21;1;21;Comité H&S;Le service d'hygiène et de sécurité maintient un registre à jour des accidents professionnels.;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d'organisation du service et de la sécurité d'hygiène; Art. 13";* Registre des accidents professionnels
22;1;22;Comité H&S;Si, dans le même lieu de travail, plus d'une entreprise appartenant au même secteur d'activités est regroupé pour mener une activité pendant une période déterminée et employant des travailleurs ayant des contrats à période fixe, l'installation a créé un comité inter-entreprises pour l'hygiène et la sécurité.;"Décriture exécutive 05-10 du 08 janvier 2005 sur l'organisation et le fonctionnement du Comité inter-entreprises pour l'hygiène et la sécurité; Art. 2";nan
23;1;23;Comité H&S;Le Comité inter-entreprises pour l'hygiène et la sécurité est créé dans les 15 jours suivant le début des opérations.;"Décriture exécutive 05-10 du 08 janvier 2005 sur l'organisation et le fonctionnement du Comité inter-entreprises pour l'hygiène et la sécurité; Art. 6";nan
24;1;24;Comité H&S;Le service d'hygiène et de sécurité prépare un rapport annuel répertoriant et évaluant les activités d'hygiène et de sécurité dans l'installation et de présenter des propositions pour améliorer l'organisation et le fonctionnement de ces activités.;"Décert exécutif 05-11 du 08 janvier 2005 sur les conditions de création, de fonctionnement, d'organisation du service et de la sécurité d'hygiène; Art. 18";* Rapport annuel audit les activités d'hygiène et de sécurité dans l'installation et de présenter des propositions pour améliorer l'organisation et le fonctionnement de ces activités
