id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Sécurité des machines et des équipements de travail;L'accès aux salles des machines est strictement limité aux travailleurs autorisés uniquement.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 38";nan
2;1;2;Sécurité des machines et des équipements de travail;Le panneau de commande des commutateurs électriques fonctionnant les machines est à la portée des opérateurs.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 39";nan
3;1;3;Sécurité des machines et des équipements de travail;Le personnel de supervision a à sa disposition les moyens techniques d'arrêter directement les machines ou de demander à leur arrêt.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 39";nan
4;1;4;Sécurité des machines et des équipements de travail;Les machines et les appareils utilisés pour les opérations ou la maintenance sont exécutés et utilisés de manière à protéger les travailleurs contre les pièces dangereuses ou mobiles.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 40";nan
5;1;5;Sécurité des machines et des équipements de travail;Les travailleurs travaillant à proximité des machines et des appareils ayant des pièces dangereuses ou mobiles usurent des vêtements ajustés et sans écoulement.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 40";nan
6;1;6;Sécurité des machines et des équipements de travail;Sous une utilisation normale, les machines sont gardées de manière à protéger les travailleurs contre les parties dangereuses des machines et des appareils ou des mécanismes mobiles.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 41";nan
7;1;7;Sécurité des machines et des équipements de travail;Le panneau de commande des machines avec des cylindres ou des rouleaux est contrôlable par l'un des travailleurs travaillant sur les cylindres.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 43";nan
8;1;8;Sécurité des machines et des équipements de travail;Les travailleurs ne sont pas affectés à la réparation, à maintenir ou à vérifier les systèmes de transmission, les machines ou les mécanismes avec des pièces mobiles pendant leur utilisation.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 66";nan
9;1;9;Sécurité des machines et des équipements de travail;Les machines avec cylindres ou rouleaux qui n'ont pas de système automatique pour inverser le mouvement sont équipées d'un système mécanique qui permet une inversion manuelle du mouvement des cylindres.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 43";nan
10;1;10;Sécurité des machines et des équipements de travail;Les presses (hydrauliques ou mécaniques) sont équipées de dispositifs de sécurité adéquats pour éviter tout contact, voire involontaire, des mains des travailleurs avec la partie qui fonctionne de la machine.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 44";nan
11;1;11;Sécurité des machines et des équipements de travail;Les machines et les appareils présentant un risque particulier sont vérifiés, inspectés et régulièrement entretenus par les travailleurs.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 63";* Records d'inspection pour les machines et les appareils présentant un risque particulier
12;1;12;Sécurité des machines et des équipements de travail;Les résultats des visites, vérifications et contrôles sur les machines, les systèmes et les appareils sont enregistrés sur un registre entretenu à cette fin.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 64";* Registre des vérifications techniques de l'équipement et des installations
13;1;13;Sécurité des machines et des équipements de travail;Les travailleurs ne sont pas affectés au nettoyage, au séchage, à l'essuyage, à la dégraissage ou à la mise à la main à la main sur les machines, les mécanismes ou les systèmes de transmission pendant leur utilisation.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 66";nan
14;2;1;Verrouiller / étiqueter;Le panneau de commande des machines est situé de manière à être facilement activé dans un mouvement facile par le travailleur en fonction de la machine.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 43";nan
15;2;2;Verrouiller / étiqueter;Il existe un appareil pour désactiver l'alimentation en cas d'urgence sur chaque système électrique directement lié à la machine utilisée ou à la source de courant électrique.;"Décert exécutif 01-342 du 28 octobre 2001 sur des dispositions spécifiques pour la protection des travailleurs contre les risques électriques sur le lieu de travail; Art. 16";nan
16;2;3;Verrouiller / étiqueter;Toutes les machines ou dispositifs sont installés et maintenus de manière à être isolés de leurs sources d'énergie.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 39";nan
17;3;1;Espaces confinés;Des mesures appropriées sont prises pour réduire les risques avant que le travail commence dans un espace confiné.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 12";nan
18;3;2;Espaces confinés;Les travailleurs travaillant dans des espaces confinés sont protégés par des dispositifs de sécurité adéquats au type de risque auquel ils sont exposés.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 12";nan
19;3;3;Espaces confinés;Aucun travailleur travaillant dans un espace confiné n'est laissé seul sans surveillance.;"Décret exécutif 91-05 du 19 janvier 1991 sur les prescriptions générales de protection par rapport à l'hygiène et à la sécurité dans les lieux de travail; Art. 12";nan
