id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Responsables;Si l'installation est un établissement classifié de catégorie 1 ou 2 selon la nomenclature d'installation classifiée, il a nommé un délégué pour l'environnement.;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l'environnement; Art. 2";* Lettre de nomination de la personne responsable de la gestion de l'énergie
2;1;2;Responsables;Si l'installation est un établissement classifié de catégorie 1 selon la nomenclature d'installation classifiée et n'a pas de structures de protection de l'environnement, la nomination du délégué pour l'environnement a été approuvée par le ministre de l'environnement.;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l'environnement; Art. 2";* Approbation du délégué pour l'environnement du ministre de l'Environnement
3;1;3;Responsables;Si l'installation est un établissement classifié de catégorie 2 selon la nomenclature d'installation classifiée et n'a pas de structures de protection de l'environnement, elle a informé le gouverneur compétent (WALI) de la nomination du délégué pour l'environnement.;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l'environnement; Art. 2";* Notification de la nomination du délégué pour l'environnement au gouverneur compétent (WALI)
4;1;4;Responsables;L'installation fournit son délégué à l'environnement avec tous les moyens nécessaires pour lui permettre de remplir ses missions.;"Décert exécutif 05-240 du 28 juin 2005 établissant les termes de la nomination des délégués pour l'environnement; Art. 7";* Dossiers de formation des employés
5;1;5;Transfert / fermeture du site;Si l'établissement est un établissement classifié, il a informé l'autorité compétente de toute fermeture de ses sites trois mois avant leur fermeture.;"Décret exécutif 06-198 du 31 mai 2006 sur le règlement régissant les établissements classifiés pour la protection de l'environnement; Art. 42";* Notification de fermeture d'un établissement classifié
6;1;6;Transfert / fermeture du site;Si l'installation est classée comme appartenant au groupe d'établissements classifiés et s'il a fermé son site / installation, il a soumis un plan de décontamination pour le site à l'autorité compétente.;"Décret exécutif 06-198 du 31 mai 2006 sur le règlement régissant les établissements classifiés pour la protection de l'environnement; Art. 42";* Plan de décontamination en cas de fermeture
7;1;7;Taxes et frais environnementaux;"Si l'installation appartient à l'une des catégories des ""établissements classifiés"" en fonction de la nomenclature d'installation classifiée, il paie la taxe sur les activités polluantes et dangereuses.";"Loi 99-11 du 23 décembre 1999 concernant la loi financière pour l'année 2000; Art. 54
Loi 01-21 du 22 décembre 2001 concernant la loi financière pour l'année 2002; Art. 202
Décret exécutif n ° 09-336 sur la taxe sur les activités polluantes et dangereuses pour l'environnement; Art. 2";* Preuve de paiement de la taxe sur les activités polluantes et dangereuses
8;1;8;Taxes et frais environnementaux;Si l'installation stocke les déchets dangereux industriels, il a payé l'impôt sur le stockage des déchets dangereux.;"Loi 01-21 du 22 décembre 2001 concernant la loi financière pour l'année 2002; Art. 203";* Preuve de paiement de la taxe sur le stockage des déchets dangereux
9;1;9;Taxes et frais environnementaux;Si l'installation effectue l'exploitation et le transport du pétrole, il paie la taxe pour les activités polluantes ou dangereuses.;"Décret exécutif n ° 09-336 sur la taxe sur les activités polluantes et dangereuses pour l'environnement; Art. 3";* Recettes pour le paiement de l'impôt sur les activités polluantes et dangereuses
10;1;10;Audits environnementaux;Si l'installation existante appartient au groupe d'établissements classifiés mais n'a pas d'autorisation opérationnelle, ou si son autorisation opérationnelle ne correspond à aucune catégorie d'établissements classifiés, il a effectué un audit environnemental.;"Décret exécutif 06-198 du 31 mai 2006 sur le règlement régissant les établissements classifiés pour la protection de l'environnement; Art. 44";"* Autorisation de fonctionnement
* Rapport d'audit environnemental"
11;1;11;Audits environnementaux;Si l'entreprise est une entreprise industrielle, de transport ou de services avec une consommation annuelle d'énergie atteignant les limites énoncées par décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés, il effectue un audit énergétique.;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés; Art. 10";* Rapport d'audit énergétique
12;1;12;Audits environnementaux;Si l'entreprise est une installation industrielle qui consomme de l'énergie égale ou plus de 2000 tonnes de pétrole, elle rapporte son niveau de consommation et son admissibilité à l'audit énergétique mandaté de l'agence nationale pour la promotion et la rationalisation de la consommation d'énergie (APRE).;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés; Article (16)";"* Document sur la consommation d'énergie annuelle
* Rapport à l'Agence nationale pour la promotion et la rationalisation de la consommation d'énergie (APRUE) sur le niveau de consommation annuelle de la société de la société"
13;1;13;Audits environnementaux;Si la société est une société de services de transport qui consomme de l'énergie égale ou supérieure à 1000 tonnes de pétrole, elle rapporte son niveau de consommation et son admissibilité à l'audit énergétique mandaté de l'agence nationale pour la promotion et la rationalisation de la consommation d'énergie (APRE).;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés; Article (16).";"* Document sur la consommation d'énergie annuelle
* Rapport à l'Agence nationale pour la promotion et la rationalisation de la consommation d'énergie (APRUE) sur le niveau de consommation annuelle de la société de la société"
14;1;14;Audits environnementaux;Si l'entreprise est une entreprise qui fournit des services et consomme de l'énergie égale ou supérieure à 500 tonnes de pétrole, il rapporte son niveau de consommation et son admissibilité à l'audit énergétique mandaté de l'agence nationale pour la promotion et la rationalisation de la consommation d'énergie (APRE).;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés; Article (16)";"* Document sur la consommation d'énergie annuelle
* Rapport à l'Agence nationale pour la promotion et la rationalisation de la consommation d'énergie (APRUE) sur le niveau de consommation annuelle de la société de la société"
15;1;15;Audits environnementaux;Si la société est une entreprise industrielle, de transport ou de services avec une consommation annuelle d'énergie atteignant les limites énoncées par décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés, il attribue une entité d'accréditation pour effectuer un audit énergétique à la société.;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés; Article 7";* Informations sur les auditeurs d'énergie
16;1;16;Audits environnementaux;Si l'entreprise est une installation industrielle qui consomme de l'énergie égale ou plus de 2000 tonnes de pétrole, elle effectue un audit énergétique une fois tous les trois ans.;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés; Article 18";"* Rapport sur l'audit énergétique
* Document sur la consommation d'énergie annuelle"
17;1;17;Audits environnementaux;Si la société est une société de services de transport qui consomme de l'énergie égale ou plus de 1000 tonnes de pétrole, elle effectue un audit énergétique une fois tous les trois ans.;"Décret exécutif n ° 05-495 du 26 décembre 2005 concernant l'audit énergétique des établissements de consommation d'énergie élevés; Article 18";"* Rapport sur l'audit énergétique
* Document sur la consommation d'énergie annuelle"
