id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Politique des déchets;L'installation prend toutes les mesures nécessaires pour réduire la génération de déchets.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 6";nan
2;1;2;Politique des déchets;L'installation garantit la récupération des déchets résultant des matériaux qu'il importe ou élimine et des produits qu'elle fabrique.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 7";nan
3;1;3;Définition et classification des déchets;Si l'installation a ou génère des déchets, il ne mélange pas les déchets spéciaux et les déchets spéciaux dangereux.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 17";nan
4;1;4;Permis de déchets / licence;Si l'établissement traite les déchets spéciaux, il détient une autorisation préalable pour les déchets spéciaux délivrés par le ministre de l'Environnement.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 42";"* Contrat d'assurance pour tous les risques, y compris le risque de pollution
* Autorisation pour un traitement des déchets spéciaux"
5;1;5;Permis de déchets / licence;Si l'installation traite les déchets des ménages, il a obtenu une autorisation valide dirigée par le gouverneur (WALI).;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 42";* Autorisation pour le traitement des déchets ménagers
6;1;6;Permis de déchets / licence;Si l'installation traite les déchets inertes, il a obtenu une autorisation préalable délivrée par le président de l'Assemblée communautaire populaire pour laquelle l'installation appartient géographiquement.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 42";* Autorisation pour le traitement des déchets inertes
7;1;7;Permis de déchets / licence;Si l'installation traite les déchets, il est conforme aux exigences énoncées dans ses autorisations pour traiter les déchets.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 42";"* Autorisation pour le traitement des déchets ménagers
* Autorisation pour le traitement des déchets inertes
* Autorisation pour un traitement des déchets spéciaux"
8;1;8;Permis de déchets / licence;Si la société exporte des déchets dangereux spéciaux, il obtient une licence du ministère de l'Environnement.;"Décret exécutif n ° 19-10 du 23 janvier 2019 organisant l'exportation de déchets dangereux spéciaux; Article 4; Article 5";* Licence pour l'exportation de déchets dangereux spéciaux
9;1;9;Permis de déchets / licence;Si la société exporte des déchets dangereux spéciaux, il obtient un certificat de qualification d'exportateur du département compétent du ministère de l'Environnement et des énergies renouvelables.;"Décision du 8 juillet 2020 spécifiant les conditions de qualification comme exportateur de déchets dangereux spéciaux; Article 2; Article 5";* Exportateur du certificat de qualification des déchets dangereux spéciaux
10;1;10;Expédition de déchets nationaux;Si l'installation transporte des déchets dangereux spéciaux, il garantit que la charge est accompagnée d'un document de transport.;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 17";* Document de transport
11;1;11;Expédition de déchets nationaux;Si l'installation transporte des déchets dangereux spéciaux, les véhicules doivent être placés de l'extérieur avec des panneaux clairs spécifiques à la catégorie des déchets transportés afin de faciliter l'identification des déchets transportés.;"Décret exécutif n ° 04-409 du 14 décembre 2004 sur les transports spéciaux dangereux; Art. 9";nan
12;1;12;Opérations d'élimination des déchets;Si l'installation génère des déchets mais n'est pas en mesure de les récupérer, il garantit l'élimination respectueuse de ces déchets.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 8";nan
13;1;13;Opérations d'élimination des déchets;Si l'installation a ou génère des déchets, les opérations d'élimination des déchets ne nuisent pas à la santé publique et à l'environnement.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 11";nan
14;1;14;Opérations d'élimination des déchets;Si l'installation traite les déchets spéciaux dangereux, il ne le fait que dans un établissement de traitement autorisé.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 19";* Facture d'un centre de traitement autorisé
15;1;15;Opérations d'élimination des déchets;L'opérateur de l'installation de traitement des déchets vérifie l'absence de radioactivité pour toute nouvelle charge de déchets spéciaux;"Décret exécutif 04-410 du 14 décembre 2004 sur les règles régissant le fonctionnement des installations de traitement des déchets et les conditions d'acceptation des déchets dans ces installations; Art. 15";nan
16;1;16;Opérations d'élimination des déchets;Si l'installation dispose de déchets spéciaux dangereux, il ne le fait que dans les sites et installations désignés à cette fin.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 20";nan
17;1;17;Opérations d'élimination des déchets;L'installation dispose uniquement de déchets inertes ou les envoie pour éliminer les sites désignés à cette fin.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 37";* Facture d'un site d'élimination désigné
18;1;18;Opérations d'élimination des déchets;L'installation dispose uniquement de déchets inertes qui ne sont pas récupérables dans des sites adaptés et autorisés à les recevoir.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 39";* Facture d'un site d'élimination désigné
19;1;19;Gaspillage d'emballage;L'installation n'utilise pas de matériaux d'emballage qui sont scientifiquement reconnus comme dangereux.;"Loi n ° 85-05 du 16 février 1985 sur la protection et la promotion de la santé; Art. 36";nan
20;1;20;Gaspillage d'emballage;Si l'installation détient ou génère des déchets d'emballage, il récupère ces déchets lui-même ou délégue la tâche à une installation autorisée ou adhère au système public de reprendre, de recyclage et de récupération.;"Décert exécutif 02-372 du 11 novembre 2002 sur les déchets d'emballage; Art. 3";nan
21;2;1;Déchets dangereux généraux;Si l’installation fournit ses déchets spéciaux à un établissement de traitement, il a obtenu un certificat d’acceptation préalable (certificat d’acceptation préalable) de l’opérateur.;"Décret exécutif 04-410 du 14 décembre 2004 sur les règles régissant le fonctionnement des installations de traitement des déchets et les conditions d'acceptation des déchets dans ces installations; Art. 12";* Certificat d'acceptation préalable des déchets spéciaux obtenus à partir de l'établissement de traitement des déchets
22;2;2;Déchets dangereux généraux;Si l'installation a ou génère des déchets spéciaux dangereux, il fournit l'administration en charge de l'environnement avec une déclaration annuelle sur la quantité, la nature et les caractéristiques des déchets.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 21
Décret exécutif 05-315 du 10 septembre 2005 Règles de fixation de la déclaration de déchets spéciaux; Art. 2, 3";* Déclaration sur la quantité, la nature et les caractéristiques des déchets spéciaux dangereux générés.
23;2;3;Déchets dangereux généraux;Si l'installation génère des déchets spéciaux dangereux, il fournit au ministère de l'Environnement des informations concernant le traitement de ces déchets, ainsi que des moyens et des mesures adoptés pour réduire la production de déchets.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 21
Décret exécutif 05-315 du 10 septembre 2005 Règles de fixation de la déclaration de déchets spéciaux; Art. 2";* Déclaration du traitement des déchets spéciaux dangereux générés.
24;2;4;Déchets dangereux généraux;Si l'installation a ou génère des déchets spéciaux, il garantit sa gestion à ses propres dépenses.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 16";nan
25;2;5;Déchets dangereux généraux;L'installation n'enterre pas les déchets dangereux dans les zones non destinées à recevoir ce type de déchets.;"Loi n ° 01-19 du 12 décembre 2001 sur la gestion, le contrôle et l'élimination des déchets; Art. 20";nan
26;2;6;Huile d'occasion;L'installation ne décharge pas des substances lubrifiantes ou toute d'huile neuve ou utilisée dans l'environnement.;"Décret exécutif 93-161 du 10 juillet 1993 sur les décharges de pétrole et de lubrifiants d'occasion dans l'environnement; Art. 3";nan
27;2;7;Huile d'occasion;Si l'installation détient les huiles d'occasion, après avoir obtenu l'approbation nécessaire, garantit que l'huile utilisée est traitée soit pour réutiliser, utilisée comme source de combustion, incinérée, stockée avant son élimination, soit exportée pour le traitement.;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les règles sur le retrait et le traitement de l'huile d'occasion; Art. 3";nan
28;2;8;Huile d'occasion;Si l'installation gère l'huile utilisée, elle est stockée dans des conteneurs à l'épreuve des fuites afin qu'il puisse être stocké et éliminé en toute sécurité.;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les règles sur le retrait et le traitement de l'huile d'occasion; Art. 4";nan
29;2;9;Huile d'occasion;Si l'installation gère le pétrole utilisé, il faut des mesures adéquates pour les gérer.;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les règles sur le retrait et le traitement de l'huile d'occasion; Art. 5";nan
30;2;10;Huile d'occasion;Si l'installation utilise le pétrole utilisé comme combustible, il a obtenu une autorisation du ministre de l'Environnement.;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les règles sur le retrait et le traitement de l'huile d'occasion; Art. 10";* Autorisation d'utiliser l'huile d'occasion comme carburant combustible
31;2;11;Huile d'occasion;Si l'installation incinte a utilisé du pétrole ou l'utilise comme telle, elle a obtenu une autorisation du ministre de l'Environnement.;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les règles sur le retrait et le traitement de l'huile d'occasion; Art. 11";* L'autorisation d'inciner à l'huile utilisée ou l'utilise comme telle
32;2;12;Huile d'occasion;Si l'installation se régénère a utilisé du pétrole, elle a obtenu une autorisation «agrément» du ministre de l'Environnement.;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les règles sur le retrait et le traitement de l'huile d'occasion; Art. 12";* Autorisation de régénérer l'huile utilisée
33;2;13;Huile d'occasion;Si l'installation contient des huiles d'occasion, tout transport des huiles d'occasion est effectué soit par l'installation, soit par un collecteur enregistré.;"Décret exécutif 93-162 du 10 juillet 1993 indiquant les conditions et les règles sur le retrait et le traitement de l'huile d'occasion; Art. 5";* Preuve de transport de l'huile d'occasion
