id;chpitre;sous-chapitre;titre;exigence;lois;documents
1;1;1;Permis / licence d'utilisation de l'eau;Si l'installation utilise des ressources en eau (y compris l'eau consacrée à l'utilisation de l'agriculture) en utilisant une installation d'abstraction d'eau, elle a obtenu une autorisation préalable livrée par l'administration compétente.;"Loi 05-12 du 4 août 2005 sur l'eau; Art. 71
Décret exécutif n ° 08-148 du 21 mai 2008 établissant les termes d'octroi de l'autorisation pour l'utilisation des ressources en eau; Art. 2 et art. 6";* Autorisation de l'utilisation des ressources en eau
2;1;2;Permis / licence d'utilisation de l'eau;Si l'installation utilise des ressources en eau (y compris l'eau consacrée à l'utilisation de l'agriculture) en utilisant une installation d'abstraction d'eau, elle est conforme aux exigences énoncées dans son autorisation.;"Loi 05-12 du 4 août 2005 sur l'eau; Art. 72";* Autorisation de l'utilisation des ressources en eau
3;1;3;Mesure et rapport de l'utilisation de l'eau;Si l'installation résume l'eau du domaine public de l'eau, il soumet un rapport sur les besoins en eau prévue pour l'année prochaine à l'agence de bassin compétente avant le 31 décembre de chaque année.;"Décert exécutif 06-142 du 26 avril 2006 établissant les termes des frais sur l'utilisation du domaine public hydraulique; Art. 3";* Rapport sur les besoins en eau prévus pour l'année prochaine
4;1;4;Mesure et rapport de l'utilisation de l'eau;Si l'installation détient une autorisation d'utilisation des ressources en eau, elle a mis en place des dispositifs de surveillance de la consommation d'eau.;"Loi 05-12 du 4 août 2005 sur l'eau; Art. 89";nan
5;1;5;Frais d'utilisation de l'eau;Si l'installation résume de l'eau du domaine public hydraulique, il reste disponible pour l'agence de bassin compétente toutes les informations et documents pertinents qui permettent à ce dernier de facturer les frais sur l'utilisation du domaine public hydraulique.;"Décert exécutif 06-142 du 26 avril 2006 établissant les termes des frais sur l'utilisation du domaine public hydraulique; Art. 4";* Documents qui permettent à l'agence du bassin de facturer les frais d'utilisation du domaine public hydraulique
6;1;6;Protection contre l'eau potable;L'installation ne décharge pas les eaux usées ou les déchets dans l'eau qui alimente l'eau / aquifère souterraine, les puits ou d'autres sources d'eaux potables.;"Loi 03-10 du 19 juillet 2003 sur la protection de l'environnement dans la perspective du développement durable; Art. 51";nan
7;2;1;Permis de décharge des eaux usées;Si l'installation décharge les eaux usées dans le réseau d'assainissement public ou dans une station de traitement, il a obtenu une autorisation préalable pour le faire.;"Loi 05-12 du 4 août 2005 sur l'eau; Art. 119";* Autorisation de décharger les eaux usées dans le réseau d'assainissement public
8;2;2;Permis de décharge des eaux usées;Si l'installation décharge les eaux usées non toxiques dans le domaine hydraulique public, il a obtenu une autorisation préalable à le faire.;"Loi 05-12 du 4 août 2005 sur l'eau; Art. 44
Décret exécutif 10-88 du 10 mars 2010 établissant les conditions de l'octroi de l'autorisation de rejeter les effluents non toxiques dans le domaine hydraulique public; Art. 3";* Autorisation de libérer des eaux usées qui ne sont pas susceptibles de générer un risque de toxicité ou une pollution
9;2;3;Permis de décharge des eaux usées;Si l'installation décharge les eaux usées non toxiques dans le domaine hydraulique public, il est conforme aux conditions énoncées dans l'autorisation.;"Décret exécutif 10-88 du 10 mars 2010 établissant les conditions de l'octroi de l'autorisation de rejeter les effluents non toxiques dans le domaine hydraulique public; Art. 4";nan
10;2;4;Permis de décharge des eaux usées;Si l'installation décharge les eaux usées à non-maintien dans le système d'égouts publics, il a obtenu une autorisation préalable pour le faire.;"Décret exécutif n ° 09-209 sur les exigences pour obtenir une autorisation de décharger les eaux usées sans retenue dans le réseau d'assainissement public ou dans une usine de traitement; Art. 2";* Autorisation de décharger les eaux usées dans le réseau d'assainissement public
