id;domaine;chapitre;sous_chapitre;titre;exigence;lois;documents
1;air;1;5;Limites d'émission;Les émissions d'air de l'installation ne dépassent pas les valeurs de limite d'émission indiqués.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 3";* Registre des mesures des polluants atmosphériques
2;air;1;6;Limites d'émission;Si l'installation émet une pollution atmosphérique qui dépasse les valeurs limites énoncées à l'annexe 1 du décret exécutif 06-138, il a payé une taxe supplémentaire.;"Décret exécutif n ° 07-299 du 27 septembre 2007 pour déterminer les termes de la mise en œuvre de la taxe supplémentaire sur la pollution atmosphérique causée par les installations industrielles; Art. 2 et art. 3
Loi 01-21 du 22 décembre 2001 concernant la loi financière pour l''année 2002; Art. 205";* Preuve de paiement de la taxe supplémentaire sur la pollution de l'air
3;air;1;7;Limites d'émission;Si l'installation traite ses émissions et que si une carence en installation de traitement conduit à un niveau d'émission qui dépasse les normes énumérées à l'annexe 1, l'installation a pris des mesures pour réduire les émissions en réduisant ou en arrêtant les activités concernées.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 7";* Enregistrements de surveillance des émissions
4;air;1;8;Limites d'émission;Si l'installation dépasse les valeurs de limite d'émission d'air indiquées à l'annexe 1, elle est en mesure de fournir une explication détaillée, des commentaires et des arguments sur l'excès au ministère de l'environnement.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 15";* Explication détaillée, commentaires et arguments sur le dépassement des valeurs de limite d'émission d'air
5;air;1;9;Limites d'émission;Si l'installation dépasse les limites d'émission énoncées à l'annexe 1, elle prend les mesures correctives planifiées ou déjà prises et informe le ministère de l'environnement à leur sujet.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 15";* Copie de la notification sur les actions correctives lorsque les limites d'émission sont dépassées
6;air;1;10;Limites d'émission;L'établissement informe immédiatement l'autorité compétente s'il y a eu des polluants atmosphériques émis directement dans l'atmosphère en raison du dysfonctionnement de l'équipement de prétraitement.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 9";* Lettre de notification en cas de pollution atmosphérique
7;air;1;11;Mesure et rapport;Si l'installation émet des polluants atmosphériques, il conserve un registre contenant les dates et les résultats des mesures effectuées concernant les émissions d'air.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 11";* Registre des mesures des polluants atmosphériques
8;air;1;12;Mesure et rapport;Si l'installation émet des polluants atmosphériques, il effectue l'échantillonnage et les mesures requis des émissions.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 11";* Registre des mesures des polluants atmosphériques
9;air;1;13;Mesure et rapport;Le résultat des mesures sur les émissions d'air est mis à la disposition de l'autorité d'inspection représentant le ministère de l'environnement sur demande.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 12";* Registre des mesures des polluants atmosphériques
10;air;1;14;Mesure et rapport;Les polluants atmosphériques émis par l'installation sont identifiés et interceptés aussi près que possible de leur source d'émission.;"Décret exécutif 06-138 du 15 avril 2006 régulant les émissions de gaz, les fumées, les vapeurs, les liquides ou les particules solides dans l''atmosphère et les conditions de leur contrôle.; Art. 5";nan
